"GeneSymbol"	"GeneID"	"# Interactors"
"TMEM186"	"25880"	4.
"POC1A"	"25886"	19.
"EEF1AKMT3"	"25895"	2.
"OLFML2B"	"25903"	10.
"CNOT10"	"25904"	103.
"NIPSNAP3A"	"25934"	5.
"FAM98A"	"25940"	18.
"SYF2"	"25949"	8.
"PNKD"	"25953"	5.
"TMEM87A"	"25963"	15.
"MOXD1"	"26002"	1.
"L3MBTL1"	"26013"	4.
"TMEM98"	"26022"	11.
"PPP1R16B"	"26051"	4.
"APPL1"	"26060"	5.
"DCAF4"	"26094"	7.
"CHTOP"	"26097"	10.
"SZRD1"	"26099"	8.
"WIPI2"	"26100"	8.
"PRPF31"	"26121"	9.
"TRPC4AP"	"26133"	10.
"SERBP1"	"26135"	25.
"IRF2BP1"	"26145"	7.
"PHF19"	"26147"	7.
"LRRC32"	"2615"	37.
"NOC2L"	"26155"	7.
"RSL1D1"	"26156"	5.
"B3GAT3"	"26229"	13.
"LRRC29"	"26231"	8.
"FBXO2"	"26232"	206.
"FBXO6"	"26270"	84.
"FBXO5"	"26271"	3.
"FBXO3"	"26273"	11.
"ERAL1"	"26284"	4.
"MYCBP"	"26292"	66.
"GBP1"	"2633"	2.
"HSPB8"	"26353"	33.
"GCG"	"2641"	7.
"INTS6"	"26512"	4.
"TIMM10"	"26519"	5.
"AGO1"	"26523"	19.
"IL36RN"	"26525"	1.
"OSTF1"	"26578"	5.
"MYEOV"	"26579"	4.
"BSCL2"	"26580"	95.
"MRPL46"	"26589"	4.
"NAP1L5"	"266812"	11.
"AMHR2"	"269"	3.
"RANBP6"	"26953"	4.
"GJA1"	"2697"	5.
"AP3M1"	"26985"	10.
"TRUB2"	"26995"	6.
"TPK1"	"27010"	1.
"NPTN"	"27020"	100.
"TRMT2A"	"27037"	2.
"UTP25"	"27042"	9.
"GHITM"	"27069"	1.
"LYPD3"	"27076"	13.
"UQCRQ"	"27089"	10.
"CACNG5"	"27091"	28.
"CACNG4"	"27092"	14.
"TAF5L"	"27097"	4.
"GK"	"2710"	2.
"DKKL1"	"27120"	27.
"DKK3"	"27122"	20.
"CPNE7"	"27132"	7.
"PALD1"	"27143"	5.
"CHIA"	"27159"	15.
"PRELID1"	"27166"	4.
"TUBG2"	"27175"	15.
"IL36A"	"27179"	2.
"DISC1"	"27185"	14.
"GLB1"	"2720"	10.
"C5AR2"	"27202"	8.
"GPKOW"	"27238"	8.
