"GeneSymbol"	"GeneID"	"# Interactors"
"HOXA5"	"3202"	8.
"APBA2"	"321"	9.
"HOXB6"	"3216"	7.
"HOXC9"	"3225"	13.
"APBB2"	"323"	17.
"HOXD4"	"3233"	7.
"HPN"	"3249"	181.
"HPS1"	"3257"	6.
"HRAS"	"3265"	2.
"MMAB"	"326625"	7.
"PRMT2"	"3275"	43.
"HSF2"	"3298"	3.
"DNAJB2"	"3300"	36.
"HSPA2"	"3306"	25.
"HSPA8"	"3312"	89.
"HSP90AB1"	"3326"	20.
"HSPD1"	"3329"	19.
"HTR1E"	"3354"	131.
"HTR2C"	"3358"	42.
"HTR3A"	"3359"	18.
"GPIHBP1"	"338328"	39.
"C1QL4"	"338761"	18.
"C1QTNF9"	"338872"	55.
"TMEM95"	"339168"	32.
"C1orf174"	"339448"	42.
"FAM170A"	"340069"	24.
"BEX5"	"340542"	7.
"VSIG1"	"340547"	221.
"DCAF12L2"	"340578"	20.
"H1-7"	"341567"	15.
"SMTNL2"	"342527"	12.
"TCTEX1D4"	"343521"	8.
"IFNA8"	"3445"	4.
"IFNA14"	"3448"	5.
"IFNA21"	"3452"	5.
"IFNAR1"	"3454"	13.
"ACTBL2"	"345651"	4.
"FAM174A"	"345757"	23.
"IFNG"	"3458"	15.
"KLRG2"	"346689"	13.
"APOD"	"347"	1.
"LRRTM1"	"347730"	21.
"LRRTM3"	"347731"	14.
"IGF2"	"3481"	15.
"SKA2"	"348235"	9.
"IGFBP4"	"3487"	11.
"NUP43"	"348995"	13.
"ACADS"	"35"	2.
"IL1RN"	"3557"	7.
"FASLG"	"356"	16.
"IL2RG"	"3561"	13.
"IL5RA"	"3568"	18.
"IL12A"	"3592"	6.
"IL12RB1"	"3594"	22.
"IL13"	"3596"	4.
"IL13RA2"	"3598"	17.
"TNFRSF9"	"3604"	20.
"ILF3"	"3609"	6.
"IMPDH1"	"3614"	26.
"INHA"	"3623"	8.
"ACADVL"	"37"	5.
"IVD"	"3712"	1.
"JUNB"	"3726"	13.
"ANOS1"	"3730"	6.
"KCNA2"	"3737"	27.
"DND1"	"373863"	88.
"KCNA5"	"3741"	5.
"NDUFS7"	"374291"	5.
"PTCHD3"	"374308"	1.
"NHLRC2"	"374354"	4.
"NCR3LG1"	"374383"	9.
"CERKL"	"375298"	10.
"KCNJ5"	"3762"	3.
"RAB15"	"376267"	5.
"ARF5"	"381"	4.
"KLK1"	"3816"	17.
"KLK2"	"3817"	80.
"KNG1"	"3827"	3.
"KLC1"	"3831"	13.
"KPNA1"	"3836"	90.
"KPNA2"	"3838"	58.
"ARG2"	"384"	1.
"RHOA"	"387"	10.
"ZKSCAN4"	"387032"	6.
"THEMIS"	"387357"	5.
"FIBIN"	"387758"	5.
"SPDYC"	"387778"	6.
"CLEC12B"	"387837"	10.
"C1QTNF9B"	"387911"	83.
"NHLRC3"	"387921"	3.
"C16orf87"	"388272"	17.
"CCDC103"	"388389"	4.
"LDLRAD1"	"388633"	26.
"DIPK1A"	"388650"	19.
"C1orf189"	"388701"	2.
"TSPYL6"	"388951"	16.
"RHOC"	"389"	11.
"LIN28B"	"389421"	30.
"RND3"	"390"	2.
"LAIR2"	"3904"	32.
"VSIG8"	"391123"	2.
"FAM221B"	"392307"	2.
"LBR"	"3930"	9.
"LCN2"	"3934"	2.
"LCP1"	"3936"	4.
"LDHC"	"3948"	5.
"LECT2"	"3950"	3.
"LGALS1"	"3956"	103.
"LGALS3"	"3958"	107.
"LGALS3BP"	"3959"	34.
"LGALS8"	"3964"	45.
"LGALS9"	"3965"	51.
"LIG3"	"3980"	9.
"LIMK2"	"3985"	9.
"LLGL2"	"3993"	16.
"FADS3"	"3995"	7.
"KNOP1"	"400506"	4.
"C1orf226"	"400793"	2.
"LMX1B"	"4010"	8.
"SOHLH1"	"402381"	4.
"CUEDC1"	"404093"	31.
"DENND10"	"404636"	141.
"LTBR"	"4055"	3.
"DUOXA2"	"405753"	27.
"BCAM"	"4059"	7.
"LUM"	"4060"	2.
"LY6H"	"4062"	5.
"LYZ"	"4069"	3.
"TACSTD2"	"4070"	152.
"MAD2L1"	"4085"	48.
"SMAD4"	"4089"	4.
"ARSA"	"410"	3.
"MAGEA1"	"4100"	22.
"MAGEA4"	"4103"	19.
"MAGEA8"	"4107"	41.
"MAGEA9"	"4108"	66.
"MAGEA10"	"4109"	83.
"MAGEB2"	"4113"	87.
"MAGEB3"	"4114"	9.
"MCL1"	"4170"	14.
"DNAJB9"	"4189"	8.
"MECP2"	"4204"	11.
"MEIS2"	"4212"	5.
"MFAP4"	"4239"	17.
"MFGE8"	"4240"	38.
"MELTF"	"4241"	5.
"SCGB2A1"	"4246"	3.
"MIA2"	"4253"	10.
"MICB"	"4277"	78.
"MLF1"	"4291"	9.
"MLH1"	"4292"	9.
"MMP2"	"4313"	17.
"MMP3"	"4314"	14.
"MMP14"	"4323"	9.
"ASGR2"	"433"	14.
"MNAT1"	"4331"	13.
"MPP2"	"4355"	7.
"GET3"	"439"	10.
"PSG8"	"440533"	8.
"LRRC52"	"440699"	11.
"RFPL4B"	"442247"	7.
"ASPH"	"444"	40.
"ARHGEF35"	"445328"	13.
"NCK1"	"4690"	42.
"NDUFA9"	"4704"	23.
"NDUFB5"	"4711"	15.
"NDUFB8"	"4714"	11.
"NDUFC2"	"4718"	21.
"NDUFV2"	"4729"	36.
"DRG1"	"4733"	6.
"SEPTIN2"	"4735"	16.
"RPL10A"	"4736"	16.
"NEFM"	"4741"	13.
"NEUROG1"	"4762"	7.
"ATP1A3"	"478"	19.
"NFKBIB"	"4793"	55.
"NHLH2"	"4808"	5.
"NIT1"	"4817"	2.
"ATP1B3"	"483"	9.
"NME3"	"4832"	24.
"NOP2"	"4839"	4.
"NONO"	"4841"	9.
"CNOT3"	"4849"	33.
"NOTCH2"	"4853"	91.
"NPAS1"	"4861"	10.
"NPM1"	"4869"	28.
"NPPA"	"4878"	7.
"NPPB"	"4879"	123.
"NPY2R"	"4887"	1.
"NUP88"	"4927"	5.
"OAS1"	"4938"	65.
"GPX8"	"493869"	3.
"OPCML"	"4978"	1.
"WRAP73"	"49856"	23.
"OSM"	"5008"	4.
"P2RY1"	"5028"	8.
"P2RY4"	"5030"	2.
"PAEP"	"5047"	13.
"SERPINB2"	"5055"	21.
"ATP5F1B"	"506"	22.
"GALNT9"	"50614"	4.
"ATP6V0A4"	"50617"	17.
"NEUROG3"	"50674"	21.
"REG3A"	"5068"	1.
"DCAF8"	"50717"	32.
"PARN"	"5073"	3.
"NSDHL"	"50814"	7.
"TRAT1"	"50852"	5.
"CLEC4A"	"50856"	28.
"STMN3"	"50861"	3.
"PCCA"	"5095"	4.
"PCCB"	"5096"	2.
"SOST"	"50964"	6.
"TMED5"	"50999"	31.
"ASCC1"	"51008"	7.
"WASHC3"	"51019"	27.
"MRPS18C"	"51023"	17.
"PI15"	"51050"	5.
"PCK2"	"5106"	3.
"YARS2"	"51067"	3.
"NMD3"	"51068"	1.
"MRPL2"	"51069"	51.
"MEMO1"	"51072"	2.
"NDUFA13"	"51079"	39.
"MRPS7"	"51081"	8.
"POLR1D"	"51082"	19.
"YBX2"	"51087"	62.
"SIDT2"	"51092"	8.
"SCCPDH"	"51097"	30.
"SH3GLB1"	"51100"	3.
"TFB1M"	"51106"	2.
"METTL9"	"51108"	32.
"RDH11"	"51109"	2.
"ZDHHC9"	"51114"	11.
"RMDN1"	"51115"	1.
"MRPS2"	"51116"	16.
"UTP11"	"51118"	2.
"SBDS"	"51119"	8.
"RPL26L1"	"51121"	49.
"COMMD2"	"51122"	23.
"GOLGA7"	"51125"	3.
"RLIM"	"51132"	3.
"SDF4"	"51150"	10.
"SERPINA10"	"51156"	2.
"C3orf18"	"51161"	19.
"EGFL7"	"51162"	30.
"PLEKHO1"	"51177"	4.
"HSPA14"	"51182"	3.
"GPN3"	"51184"	18.
"TCEAL9"	"51186"	12.
"CPA4"	"51200"	5.
"PCP4"	"5121"	2.
"ABI3"	"51225"	28.
"GLTP"	"51228"	3.
"PHF20"	"51230"	8.
"RNF181"	"51255"	3.
"MRPL51"	"51258"	39.
"MRPL27"	"51264"	35.
"BPIFA1"	"51297"	2.
"PCYT1A"	"5130"	7.
"TIMMDC1"	"51300"	3.
"ARMCX1"	"51309"	6.
"SPG21"	"51324"	9.
"AHSP"	"51327"	6.
"FZR1"	"51343"	24.
"TEX264"	"51368"	12.
"MRPS17"	"51373"	8.
"UCHL5"	"51377"	31.
"EIF3L"	"51386"	11.
"NIP7"	"51388"	2.
"PPME1"	"51400"	8.
"NOL7"	"51406"	12.
"ACTL6B"	"51412"	10.
"SNX9"	"51429"	28.
"ANAPC5"	"51433"	31.
"SCARA3"	"51435"	9.
"FAM8A1"	"51439"	10.
"NELFCD"	"51497"	8.
"ATP5PB"	"515"	14.
"GTSE1"	"51512"	7.
"NCKIPSD"	"51517"	22.
"GSKIP"	"51527"	4.
"ZC3HC1"	"51530"	22.
"PHF7"	"51533"	5.
"MTFP1"	"51537"	3.
"SIRT6"	"51548"	4.
"CINP"	"51550"	6.
"RAB6B"	"51560"	10.
"MBIP"	"51562"	17.
"ARMCX3"	"51566"	5.
"UFM1"	"51569"	1.
"PDGFRL"	"5157"	10.
"CYRIB"	"51571"	2.
"LARP7"	"51574"	7.
"PDGFRB"	"5159"	59.
"PIGT"	"51604"	38.
"ATP6V1H"	"51606"	20.
"GET4"	"51608"	6.
"DYNC2LI1"	"51626"	3.
"LUC7L2"	"51631"	53.
"RBMX2"	"51634"	26.
"MRPS23"	"51649"	65.
"PDK4"	"5166"	3.
"FKBP7"	"51661"	2.
"ASB4"	"51666"	9.
"SARAF"	"51669"	3.
"GPRC5B"	"51704"	32.
"DNAJB11"	"51726"	9.
"POLR3K"	"51728"	18.
"WWOX"	"51741"	9.
"CD244"	"51744"	14.
"ERAP1"	"51752"	2.
"SERPINF1"	"5176"	4.
"INPP5K"	"51763"	14.
"COQ3"	"51805"	4.
"PEX7"	"5191"	187.
"PFDN1"	"5201"	21.
"PFDN2"	"5202"	23.
"PFDN4"	"5203"	9.
"ATP5PF"	"522"	8.
"PHF1"	"5252"	7.
"ATP6V1B2"	"526"	16.
"PHKG2"	"5261"	9.
"SERPINA4"	"5267"	12.
"SERPINE2"	"5270"	5.
"SERPINB8"	"5271"	1.
"SERPINB13"	"5275"	7.
"PIGH"	"5283"	10.
"PIM1"	"5292"	43.
"PIN1"	"5300"	7.
"PIP"	"5304"	75.
"PIP4K2A"	"5305"	57.
"PKP2"	"5318"	30.
"PLAU"	"5328"	2.
"BTBD1"	"53339"	42.
"NUDT9"	"53343"	3.
"ATP6V1G2"	"534"	21.
"STX18"	"53407"	19.
"ATP6V0A1"	"535"	14.
"PLTP"	"5360"	6.
"PRKAG3"	"53632"	50.
"PNOC"	"5368"	6.
"PML"	"5371"	10.
"ACP5"	"54"	9.
"RBM11"	"54033"	10.
"YBEY"	"54059"	8.
"MIS18A"	"54069"	27.
"PNLIPRP2"	"5408"	10.
"PNN"	"5411"	17.
"LURAP1"	"541468"	21.
"CYCS"	"54205"	1.
"POLE"	"5426"	5.
"GPR85"	"54329"	7.
"POLR2D"	"5433"	7.
"GNG2"	"54331"	23.
"POLR2E"	"5434"	12.
"POLR2G"	"5436"	19.
"WNT4"	"54361"	9.
"HAO1"	"54363"	1.
"POLR2J"	"5439"	33.
"POLR2L"	"5441"	28.
"SSH1"	"54434"	10.
"GFOD1"	"54438"	11.
"TAF7L"	"54457"	16.
"TOLLIP"	"54472"	24.
"EXOSC4"	"54512"	13.
"ING3"	"54556"	3.
"SGTB"	"54557"	4.
"GNB1L"	"54584"	3.
"CCNJ"	"54619"	4.
"ARL15"	"54622"	6.
"WDR74"	"54663"	10.
"PPARD"	"5467"	3.
"MANSC1"	"54682"	5.
"TMED9"	"54732"	2.
"EPDR1"	"54749"	5.
"TRIM44"	"54765"	113.
"DIRAS2"	"54769"	6.
"PPIA"	"5478"	2.
"KCTD9"	"54793"	8.
"PPID"	"5481"	3.
"ZNF562"	"54811"	10.
"ZCCHC10"	"54819"	59.
"LRRC49"	"54839"	7.
"ESRP1"	"54845"	6.
"DEF8"	"54849"	6.
"ANKRD49"	"54851"	4.
"WDR55"	"54853"	6.
"DNAJC25"	"548645"	54.
"TMEM214"	"54867"	1.
"EPS8L1"	"54869"	17.
"QRICH1"	"54870"	3.
"DPP8"	"54878"	2.
"ST7L"	"54879"	5.
"TEX10"	"54881"	9.
"SEMA4C"	"54910"	9.
"RPP25"	"54913"	14.
"YTHDF1"	"54915"	5.
"LIME1"	"54923"	5.
"HAUS4"	"54930"	18.
"SARS2"	"54938"	7.
"COMMD4"	"54939"	20.
"OCIAD1"	"54940"	59.
"SLC41A3"	"54946"	9.
"MRPL16"	"54948"	4.
"PPM1B"	"5495"	5.
"COMMD8"	"54951"	19.
"SLC35F6"	"54978"	8.
"GID8"	"54994"	21.
"LAMTOR1"	"55004"	15.
"TRMT61B"	"55006"	22.
"PPP1CC"	"5501"	66.
"HEATR3"	"55027"	26.
"FKBP14"	"55033"	1.
"CDCA4"	"55038"	8.
"ATG16L1"	"55054"	9.
"C9orf40"	"55071"	11.
"IFT57"	"55081"	36.
"TMEM51"	"55092"	11.
"WDR60"	"55112"	3.
"SLC6A15"	"55117"	6.
"AKIRIN2"	"55122"	7.
"RBM28"	"55131"	3.
"WRAP53"	"55135"	7.
"RBM23"	"55147"	10.
"MSTO1"	"55154"	5.
"DARS2"	"55157"	8.
"ARHGEF10L"	"55160"	6.
"KLHL11"	"55175"	6.
"PPP2R1A"	"5518"	63.
"DNAJC17"	"55192"	2.
"EVA1B"	"55194"	24.
"PPP2R2B"	"5521"	73.
"BBS7"	"55212"	14.
"TMLHE"	"55217"	3.
"EXD2"	"55218"	8.
"PPP2R2C"	"5522"	24.
"NAT10"	"55226"	9.
"PANK4"	"55229"	3.
"PPP2R3A"	"5523"	28.
"KIRREL1"	"55243"	24.
"SLC47A1"	"55244"	1.
"PACC1"	"55248"	63.
"ELP2"	"55250"	6.
"QRSL1"	"55278"	3.
"FBXW7"	"55294"	26.
"PPP4C"	"5531"	20.
"PEF1"	"553115"	4.
"ABCF3"	"55324"	2.
"PPP3CC"	"5533"	16.
"SYNJ2BP"	"55333"	5.
"STRBP"	"55342"	1.
"ABHD10"	"55347"	6.
"COPRS"	"55352"	14.
"SLC22A15"	"55356"	3.
"PPT1"	"5538"	23.
"AVPR2"	"554"	5.
"ZNF331"	"55422"	7.
"CSGALNACT2"	"55454"	36.
"PRELP"	"5549"	7.
"HES6"	"55502"	2.
"NOP10"	"55505"	7.
"MACROH2A2"	"55506"	19.
"ASIC4"	"55515"	22.
"DHTKD1"	"55526"	2.
"PRG2"	"5553"	11.
"KLK15"	"55554"	12.
"HAUS7"	"55559"	21.
"CNOT11"	"55571"	14.
"SUPT20H"	"55578"	5.
"ITLN1"	"55600"	23.
"PRKAA1"	"5562"	11.
"PNRC2"	"55629"	5.
"SLC39A4"	"55630"	32.
"LRRC40"	"55631"	2.
"LYAR"	"55646"	14.
"RAB20"	"55647"	7.
"PRKAB2"	"5565"	9.
"ZNF692"	"55657"	25.
"HIF1AN"	"55662"	21.
"URGCP"	"55665"	5.
"PRKACB"	"5567"	14.
"PRKACG"	"5568"	7.
"KANSL3"	"55683"	17.
"YJU2"	"55702"	15.
"DOK4"	"55715"	9.
"POLR3E"	"55718"	18.
"TSR1"	"55720"	16.
"CEP72"	"55722"	13.
"ASF1B"	"55723"	26.
"DNAJC11"	"55735"	111.
"VPS35"	"55737"	16.
"ARFGAP1"	"55738"	12.
"NAXD"	"55739"	3.
"EDEM2"	"55741"	29.
"SEPTIN11"	"55752"	13.
"OGDHL"	"55753"	5.
"DHX32"	"55760"	2.
"EXOC1"	"55763"	17.
"INAVA"	"55765"	21.
"PRKAR2B"	"5577"	20.
"PRKCA"	"5578"	2.
"DDX28"	"55794"	271.
"SCN3B"	"55800"	136.
"GLT8D1"	"55830"	7.
"EMC3"	"55831"	11.
"PPP2R2D"	"55844"	35.
"BRK1"	"55845"	29.
"PLGRKT"	"55848"	2.
"USE1"	"55850"	24.
"KIZ"	"55857"	5.
"PBK"	"55872"	7.
"WSB2"	"55884"	8.
"GPRC5C"	"55890"	13.
"RNF114"	"55905"	4.
"BIN3"	"55909"	6.
"APOM"	"55937"	3.
"LIN37"	"55957"	12.
"KLHL9"	"55958"	11.
"SULF2"	"55959"	8.
"SEPTIN3"	"55964"	10.
"SLC25A40"	"55972"	6.
"MAPK8"	"5599"	7.
"NXF5"	"55998"	7.
"NXF2"	"56001"	21.
"MAPK9"	"5601"	3.
"MAPK13"	"5603"	1.
"PCDHGC4"	"56098"	19.
"PCDHGB5"	"56101"	26.
"PCDHGB2"	"56103"	20.
"PCDHGB1"	"56104"	32.
"PCDHGA9"	"56107"	61.
"PCDHGA6"	"56109"	16.
"DNAJC3"	"5611"	22.
"PCDHGA5"	"56110"	45.
"PCDHB11"	"56125"	9.
"PCDHB7"	"56129"	6.
"PCDHAC2"	"56134"	12.
"PCDHA12"	"56137"	6.
"PCDHA8"	"56140"	15.
"PCDHA4"	"56144"	17.
"PCDHA3"	"56145"	9.
"MEPCE"	"56257"	0.
"IL36G"	"56300"	2.
"PRPS1"	"5631"	24.
"PRPSAP2"	"5636"	6.
"CTPS2"	"56474"	2.
"KLK6"	"5653"	1.
"KLK10"	"5655"	1.
"PRTN3"	"5657"	5.
"AZU1"	"566"	63.
"DIABLO"	"56616"	14.
"CLDND1"	"56650"	19.
"TWNK"	"56652"	8.
"NPDC1"	"56654"	2.
"AKIP1"	"56672"	9.
"TMEM9B"	"56674"	58.
"B2M"	"567"	8.
"PSG3"	"5671"	13.
"PSG11"	"5680"	1.
"ZC3HAV1"	"56829"	2.
"SLAMF8"	"56833"	4.
"EMC7"	"56851"	9.
"PSMA5"	"5686"	37.
"KCMF1"	"56888"	25.
"AGPAT3"	"56894"	5.
"EXOSC5"	"56915"	13.
"MCCC1"	"56922"	2.
"NCLN"	"56926"	2.
"SPPL2B"	"56928"	51.
"CA10"	"56934"	50.
"DUSP22"	"56940"	6.
"HMCES"	"56941"	3.
"PSMB7"	"5695"	29.
"PSMB8"	"5696"	8.
"ATXN7L3"	"56970"	23.
"POGLUT1"	"56983"	3.
"PSMG2"	"56984"	9.
"TOMM22"	"56993"	7.
"CTNNBIP1"	"56998"	6.
"PSMC1"	"5700"	17.
"ACKR3"	"57007"	81.
"CCNL1"	"57018"	10.
"PSMC3"	"5702"	24.
"RSRP1"	"57035"	72.
"RARS2"	"57038"	7.
"PSMD2"	"5708"	39.
"NAT14"	"57106"	42.
"REXO4"	"57109"	24.
"PLAAT1"	"57110"	1.
"INTS12"	"57117"	2.
"CHMP1B"	"57132"	4.
"RTN4"	"57142"	26.
"TMEM159"	"57146"	15.
"SCYL3"	"57147"	10.
"SMIM8"	"57150"	9.
"LYZL6"	"57151"	6.
"TMEM63C"	"57156"	48.
"PSMD10"	"5716"	30.
"KIAA1191"	"57179"	69.
"ACTR3B"	"57180"	11.
"PSME1"	"5720"	15.
"THAP11"	"57215"	9.
"LYRM2"	"57226"	3.
"BAG1"	"573"	1.
"PBXIP1"	"57326"	65.
"PTGER3"	"5733"	4.
"JPH3"	"57338"	5.
"SPC25"	"57405"	10.
"NDRG2"	"57447"	5.
"GALNT16"	"57452"	5.
"PTH2R"	"5746"	21.
"MYORG"	"57462"	15.
"STRIP2"	"57464"	4.
"ZNF512B"	"57473"	5.
"ZNF490"	"57474"	2.
"GRAMD1B"	"57476"	24.
"NUFIP2"	"57532"	5.
"ZNF398"	"57541"	2.
"NCEH1"	"57552"	6.
"STAMBPL1"	"57559"	9.
"ARRDC3"	"57561"	18.
"PCDH10"	"57575"	3.
"HOMEZ"	"57594"	4.
"FAM234B"	"57613"	14.
"EPB41L5"	"57669"	23.
"LRRC4C"	"57689"	7.
"DDX55"	"57696"	11.
"MIER1"	"57708"	11.
"SLC7A14"	"57709"	6.
"GPR107"	"57720"	25.
"GBA3"	"57733"	2.
"PTPN4"	"5775"	9.
"CCAR2"	"57805"	4.
"RAP2C"	"57826"	9.
"PTPRA"	"5786"	6.
"PTPRE"	"5791"	3.
"PTX3"	"5806"	19.
"PVR"	"5817"	4.
"NECTIN2"	"5819"	4.
"CTDSP1"	"58190"	3.
"BBS1"	"582"	18.
"PEX19"	"5824"	96.
"SRPRB"	"58477"	31.
"ENOPH1"	"58478"	4.
"RPRD1B"	"58490"	28.
"OVOL2"	"58495"	1.
"DNASE2B"	"58511"	13.
"SINHCAF"	"58516"	19.
"MID1IP1"	"58526"	8.
"RAB4A"	"5867"	10.
"RAB5A"	"5868"	9.
"RAB27A"	"5873"	18.
"RAB27B"	"5874"	11.
"RABGGTA"	"5875"	9.
"RABGGTB"	"5876"	15.
"RABIF"	"5877"	3.
"RAC2"	"5880"	7.
"RAD21"	"5885"	8.
"RAD23A"	"5886"	34.
"RAD23B"	"5887"	8.
"RAD51B"	"5890"	7.
"RAD51D"	"5892"	8.
"IL22RA1"	"58985"	12.
"BCHE"	"590"	7.
"RAP1GDS1"	"5910"	18.
"RAPSN"	"5913"	65.
"EVA1C"	"59271"	37.
"TLNRD1"	"59274"	10.
"RBBP4"	"5928"	70.
"RBBP5"	"5929"	17.
"RBBP7"	"5931"	53.
"SCPEP1"	"59342"	4.
"RBMS2"	"5939"	50.
"CCND1"	"595"	8.
"RCN1"	"5954"	2.
"RDX"	"5962"	9.
"REG1A"	"5967"	4.
"BCL2L1"	"598"	12.
"RFC4"	"5984"	21.
"RFC5"	"5985"	11.
"TRIM27"	"5987"	2.
"BCL2L2"	"599"	6.
"RFX3"	"5991"	4.
"RGS3"	"5998"	34.
"RLN1"	"6013"	35.
"RNASE3"	"6037"	12.
"AVPI1"	"60370"	8.
"RNASE4"	"6038"	7.
"TGIF2"	"60436"	20.
"SAV1"	"60485"	13.
"NIF3L1"	"60491"	2.
"CCDC90B"	"60492"	3.
"BCL7A"	"605"	34.
"RNH1"	"6050"	7.
"ELAC2"	"60528"	7.
"SPCS3"	"60559"	18.
"RINT1"	"60561"	11.
"RP2"	"6102"	9.
"RPA2"	"6118"	7.
"RPL3"	"6122"	39.
"RPL4"	"6124"	2.
"RPL6"	"6128"	3.
"RPL7"	"6129"	0.
"RPL11"	"6135"	23.
"RPL13"	"6137"	63.
"RPL17"	"6139"	20.
"RPL18"	"6141"	3.
"RPL18A"	"6142"	8.
"RPL19"	"6143"	27.
"RPL22"	"6146"	5.
"MRPL23"	"6150"	7.
"RPL26"	"6154"	11.
"RPL30"	"6156"	1.
"RPL28"	"6158"	19.
"RPL31"	"6160"	18.
"RPL37A"	"6168"	0.
"BCS1L"	"617"	5.
"RPLP0"	"6175"	18.
"MRPL12"	"6182"	55.
"MRPS12"	"6183"	15.
"RPN2"	"6185"	15.
"RPS3"	"6188"	48.
"RPS3A"	"6189"	9.
"RPS4X"	"6191"	19.
"ZNF704"	"619279"	15.
"RPS6KB2"	"6199"	6.
"RPS7"	"6201"	16.
"RPS8"	"6202"	22.
"RPS10"	"6204"	82.
"RPS11"	"6205"	1.
"RPS13"	"6207"	2.
"RPS14"	"6208"	11.
"RPS15A"	"6210"	3.
"RPS19"	"6223"	67.
"RPS24"	"6229"	4.
"RRM2"	"6241"	5.
"S100A2"	"6273"	39.
"S100A4"	"6275"	20.
"S100B"	"6285"	22.
"SAA1"	"6288"	5.
"CELA2A"	"63036"	5.
"CLEC11A"	"6320"	41.
"SCN2B"	"6327"	142.
"CX3CL1"	"6376"	7.
"SDC1"	"6382"	75.
"SDC2"	"6383"	24.
"SDC4"	"6385"	43.
"SDCBP"	"6386"	20.
"SH2D4A"	"63898"	9.
"NSUN3"	"63899"	1.
"FAM111A"	"63901"	1.
"BLOC1S5"	"63915"	17.
"MRPS14"	"63931"	5.
"MCUR1"	"63933"	4.
"GPSM3"	"63940"	22.
"OXCT2"	"64064"	2.
"SEMG2"	"6407"	2.
"CDH23"	"64072"	9.
"GOLPH3"	"64083"	9.
"POPDC2"	"64091"	22.
"PARVG"	"64098"	5.
"ELSPBP1"	"64100"	29.
"CENPK"	"64105"	8.
"MOAP1"	"64112"	12.
"LIN7B"	"64130"	19.
"CARD9"	"64170"	7.
"P3H1"	"64175"	28.
"BLMH"	"642"	2.
"TOR3A"	"64222"	8.
"SFRP2"	"6423"	4.
"SFRP4"	"6424"	5.
"SRSF3"	"6428"	39.
"SRSF4"	"6429"	9.
"SRSF5"	"6430"	18.
"SRSF6"	"6431"	8.
"RNF25"	"64320"	6.
"SFSWAP"	"6433"	18.
"CHST8"	"64377"	19.
"GREM2"	"64388"	7.
"SFTPC"	"6440"	29.
"SYCE3"	"644186"	2.
"SGCA"	"6442"	19.
"INF2"	"64423"	8.
"CIAO3"	"64428"	5.
"ZDHHC6"	"64429"	1.
"SGSH"	"6448"	7.
"CCNI2"	"645121"	29.
"ZAR1L"	"646799"	18.
"GORASP1"	"64689"	23.
"C16orf58"	"64755"	2.
"PARP12"	"64761"	17.
"ZNF574"	"64763"	4.
"CREB3L2"	"64764"	310.
"MEAF6"	"64769"	62.
"C11orf1"	"64776"	1.
"TBC1D15"	"64786"	30.
"EPS8L2"	"64787"	2.
"ST3GAL1"	"6482"	2.
"USP46"	"64854"	45.
"DCLRE1B"	"64858"	6.
"PCDH20"	"64881"	27.
"PMEL"	"6490"	5.
"LPIN3"	"64900"	7.
"CENPH"	"64946"	34.
"MRPS26"	"64949"	8.
"MRPS15"	"64960"	1.
"MRPS6"	"64968"	8.
"MRPS5"	"64969"	6.
"MRPL41"	"64975"	24.
"MRPL34"	"64981"	1.
"SKP1"	"6500"	80.
"SKP2"	"6502"	6.
"SLC1A1"	"6505"	41.
"ACD"	"65057"	8.
"SLC2A3"	"6515"	4.
"BMP4"	"652"	33.
"PYCR3"	"65263"	25.
"SLC7A1"	"6541"	11.
"SLC12A4"	"6560"	8.
"SLC15A1"	"6564"	7.
"SLC18A1"	"6570"	10.
"SLC20A1"	"6574"	14.
"SLC22A5"	"6584"	3.
"BMPR2"	"659"	2.
"ZNF747"	"65988"	6.
"FUNDC2"	"65991"	5.
"DDRGK1"	"65992"	10.
"MRPS34"	"65993"	12.
"CHID1"	"66005"	4.
"SMARCC2"	"6601"	22.
"SMARCD1"	"6602"	23.
"MTMR9"	"66036"	8.
"SMARCE1"	"6605"	31.
"SMPD2"	"6610"	264.
"BNIP1"	"662"	9.
"SNCA"	"6622"	5.
"SNRNP70"	"6625"	13.
"SNRPA1"	"6627"	38.
"SNRPB"	"6628"	38.
"SNRPB2"	"6629"	10.
"SNRPC"	"6631"	31.
"SNRPE"	"6635"	43.
"SNRPF"	"6636"	31.
"SPARC"	"6678"	7.
"SPAST"	"6683"	11.
"SPINT1"	"6692"	7.
"SRP9"	"6726"	6.
"SRP14"	"6727"	7.
"SRPK1"	"6732"	11.
"SRPK2"	"6733"	88.
"SRPRA"	"6734"	3.
"SSRP1"	"6749"	8.
"SSTR2"	"6752"	32.
"STAT2"	"6773"	8.
"STAT3"	"6774"	1.
"STK11"	"6794"	18.
"STX3"	"6809"	33.
"STXBP3"	"6814"	3.
"BSG"	"682"	31.
"SUOX"	"6821"	3.
"SURF2"	"6835"	5.
"SURF6"	"6838"	32.
"SUV39H1"	"6839"	30.
"SYP"	"6855"	40.
"SYT1"	"6857"	59.
"TACR1"	"6869"	5.
"TACR3"	"6870"	3.
"TAF12"	"6883"	25.
"TCF4"	"6925"	6.
"GCFC2"	"6936"	4.
"BTK"	"695"	31.
"TDGF1"	"6997"	9.
"TEAD4"	"7004"	12.
"TERF1"	"7013"	8.
"TFAP4"	"7023"	10.
"TGFB1"	"7040"	19.
"LEFTY2"	"7044"	7.
"THY1"	"7070"	18.
